Código IBGE,Nome do Municipio,uf,maior_media_anual,ano_maior_media,maior_media_semestral,semestre_maior_media,maior_diferenca_entre_meses,ano_maior_diferença_ano,media_pessoas_geral,max_valor,min_valor
355030,SÃO PAULO,SP,113156.67,2025,115387.0,2025_S2,13116,2024,94991.2,116932,77725
330455,RIO DE JANEIRO,RJ,78991.33,2026,79825.17,2025_S2,12251,2024,57896.98,80623,38924
230440,FORTALEZA,CE,73907.33,2026,73907.33,2026_S1,10006,2024,55219.77,74428,40260
292740,SALVADOR,BA,54223.25,2025,55401.5,2025_S2,7403,2024,43618.9,55723,33822
261160,RECIFE,PE,52022.67,2026,53313.33,2025_S2,5450,2024,43424.47,53657,36399
130260,MANAUS,AM,48423.67,2026,48693.5,2025_S2,7450,2024,36578.67,49066,26883
530010,BRASÍLIA,DF,44701.67,2026,44928.17,2025_S2,6059,2024,34990.03,45239,26690
150140,BELÉM,PA,36510.58,2025,37300.67,2025_S2,3879,2024,30540.37,37864,24982
310620,BELO HORIZONTE,MG,34359.08,2025,34815.83,2025_S2,4126,2024,28046.72,35340,21945
270430,MACEIÓ,AL,33119.33,2026,33574.83,2025_S2,3222,2024,28110.8,33656,23795
211130,SÃO LUÍS,MA,29033.5,2025,29638.0,2025_S2,4106,2024,23366.1,29842,18640
431490,PORTO ALEGRE,RS,25963.0,2026,26339.67,2025_S2,3284,2024,20584.27,26587,15764
250750,JOÃO PESSOA,PB,24018.33,2026,24199.83,2025_S2,3342,2024,17934.55,24286,13491
221100,TERESINA,PI,23190.33,2026,23669.5,2025_S2,3055,2024,18882.07,23831,15232
280030,ARACAJU,SE,21551.67,2026,21551.67,2026_S1,2807,2024,16648.98,21687,13344
520870,GOIÂNIA,GO,21230.67,2025,21435.83,2025_S2,2662,2024,17745.4,21724,14382
500270,CAMPO GRANDE,MS,19410.25,2025,19632.17,2025_S2,2958,2024,15920.12,19866,12659
240810,NATAL,RN,19077.67,2026,19101.83,2025_S2,2764,2024,14293.28,19316,11066
410690,CURITIBA,PR,17931.0,2026,18408.0,2025_S2,2241,2025,14314.02,18579,11607
250400,CAMPINA GRANDE,PB,15884.67,2026,15884.67,2026_S1,2707,2024,11218.22,16004,8242
120040,RIO BRANCO,AC,14721.67,2026,14912.5,2025_S2,2213,2024,11580.52,15047,9325
330170,DUQUE DE CAXIAS,RJ,14624.83,2025,14664.17,2025_S2,2208,2024,11758.82,14980,8957
110020,PORTO VELHO,RO,14583.0,2026,14583.0,2026_S1,2028,2024,11105.5,14724,8837
160030,MACAPÁ,AP,13712.67,2026,13767.67,2025_S2,1751,2023,10789.17,13913,8295
350950,CAMPINAS,SP,13273.5,2025,13274.33,2025_S2,2143,2024,10248.17,13742,7565
291080,FEIRA DE SANTANA,BA,12856.67,2026,12901.5,2025_S2,1470,2024,10669.87,12966,8780
