Código IBGE,Nome do Municipio,uf,maior_media_anual,ano_maior_media,maior_media_semestral,semestre_maior_media,maior_diferenca_entre_meses,ano_maior_diferença_ano,media_pessoas_geral,max_valor,min_valor
355030,SÃO PAULO,SP,113156.67,2025,115387.0,2025_S2,13116,2024,101728.1,116932,82488
330455,RIO DE JANEIRO,RJ,79625.14,2026,81352.0,2026_S2,12251,2024,65606.79,81352,44268
230440,FORTALEZA,CE,74342.71,2026,75932.0,2026_S2,10006,2024,61274.5,75932,45038
292740,SALVADOR,BA,54223.25,2025,55401.5,2025_S2,7403,2024,47480.44,55723,36508
261160,RECIFE,PE,51899.67,2025,53313.33,2025_S2,5450,2024,46232.56,53657,37992
130260,MANAUS,AM,49047.57,2026,50514.0,2026_S2,7450,2024,40673.0,50514,28849
530010,BRASÍLIA,DF,44878.14,2026,45754.0,2026_S2,6059,2024,38346.67,45754,28063
150140,BELÉM,PA,36510.58,2025,37300.67,2025_S2,3879,2024,32728.98,37864,26111
310620,BELO HORIZONTE,MG,34359.08,2025,34815.83,2025_S2,4126,2024,30363.81,35340,23823
270430,MACEIÓ,AL,32995.08,2025,33574.83,2025_S2,3222,2024,29746.83,33656,24801
211130,SÃO LUÍS,MA,29033.5,2025,29638.0,2025_S2,4106,2024,25202.08,29842,19329
431490,PORTO ALEGRE,RS,25758.5,2025,26339.67,2025_S2,3284,2024,22508.67,26587,16696
250750,JOÃO PESSOA,PB,23833.0,2026,24199.83,2025_S2,3342,2024,19791.42,24286,14340
221100,TERESINA,PI,23189.67,2025,23669.5,2025_S2,3055,2024,20396.98,23831,16065
280030,ARACAJU,SE,21509.29,2026,21642.0,2026_S2,2807,2024,18065.56,21687,14193
520870,GOIÂNIA,GO,21230.67,2025,21435.83,2025_S2,2662,2024,19049.23,21724,14900
500270,CAMPO GRANDE,MS,19410.25,2025,19632.17,2025_S2,2958,2024,17183.12,19866,13532
240810,NATAL,RN,19019.29,2026,19127.0,2026_S2,2764,2024,15705.48,19316,11585
410690,CURITIBA,PR,17673.75,2025,18408.0,2025_S2,2241,2025,15424.29,18579,12105
