"codigo_estado","codigo_municipio","qtd_membros","cadunico","bpc","pbf"
35,3535408,6650,6650,938,3930
42,4205431,843,843,95,337
31,3118403,10604,10604,1920,6156
29,2928901,22078,22078,1513,15428
31,3147808,988,988,99,564
27,2700201,10111,10111,1220,7958
52,5205208,3408,3408,403,1865
31,3126307,989,989,189,425
29,2933174,6827,6827,505,4793
29,2920908,9570,9570,1609,6257
23,2306702,14559,14559,1493,8853
28,2806404,6361,6361,678,5012
25,2516706,11850,11850,946,9571
43,4303673,900,900,94,410
52,5210604,2756,2756,312,1178
42,4216354,1597,1597,150,536
51,5106240,4459,4459,365,1186
31,3163706,18085,18085,2451,8213
29,2919801,29512,29512,3383,19495
26,2616308,17477,17477,2022,10608
31,3131703,34412,34412,3634,14089
24,2413102,5004,5004,375,3786
31,3154507,6305,6305,608,3686
42,4207650,2230,2230,163,663
23,2311264,15695,15695,1603,10222
24,2410900,6025,6025,563,3879
43,4304713,2558,2558,339,1540
26,2604155,12092,12092,964,8792
28,2805307,6143,6143,606,4364
31,3144656,7263,7263,566,4221
29,2918555,4298,4298,552,3162
31,3133204,5248,5248,941,1956
35,3507506,39071,39071,6027,19207
33,3304128,5674,5674,731,3475
41,4127502,11667,11667,1174,5947
31,3123601,10891,10891,1322,4768
35,3505708,107221,107221,10954,47317
43,4300208,1557,1557,252,761
31,3158300,3886,3886,370,1170
42,4209409,11319,11319,1512,4031
43,4304655,1590,1590,91,763
51,5100508,5264,5264,706,2902
13,1301100,24301,24301,2661,17901
24,2403301,5252,5252,539,3012
29,2929701,11959,11959,946,9124
35,3528809,4586,4586,381,1813
52,5213772,2990,2990,223,1846
15,1501501,49923,49923,6150,31691
32,3202306,17228,17228,1888,7896
22,2207793,3386,3386,244,2561
43,4310207,24637,24637,3720,8934
42,4201307,18968,18968,1892,7415
29,2933307,234219,234219,33760,128818
26,2613305,15233,15233,1797,11760
35,3501707,9140,9140,979,4085
43,4320677,2923,2923,228,1584
17,1715150,1281,1281,109,622
52,5203401,5547,5547,627,2457
43,4318507,15266,15266,2161,5098
21,2108108,15118,15118,1228,12511
41,4117800,8247,8247,829,4198
29,2927705,20722,20722,2167,13800
31,3119302,11686,11686,1530,5745
17,1708254,2893,2893,300,1538
50,5006903,8360,8360,1263,4368
43,4316303,3841,3841,281,913
24,2404853,6061,6061,622,3449
51,5107602,111417,111417,14503,36080
15,1508209,36749,36749,3935,28232
31,3127057,3794,3794,298,2873
31,3102902,5050,5050,691,2688
23,2302404,36132,36132,6332,24670
13,1302603,1110143,1110143,138376,709649
52,5218508,21015,21015,2069,6364
26,2612901,7359,7359,671,5826
52,5218789,2856,2856,184,905
29,2908002,13353,13353,2835,8526
35,3524709,9063,9063,1738,4530
13,1300508,28346,28346,1826,24194
26,2615201,7250,7250,703,5007
52,5221080,3159,3159,208,2066
43,4318408,9391,9391,959,4647
13,1300680,13501,13501,1378,11432
23,2309300,21277,21277,3005,12560
42,4202404,53748,53748,7372,19508
31,3164605,3912,3912,311,1981
43,4300851,2612,2612,282,1046
31,3104452,3788,3788,427,2313
31,3169109,3306,3306,394,1517
21,2103406,30857,30857,2433,24942
24,2410256,4395,4395,463,3080
31,3102209,3266,3266,412,1791
32,3203700,10041,10041,897,5398
23,2313252,6643,6643,598,3818
31,3150307,2059,2059,339,787
43,4303806,2026,2026,192,536
42,4211256,1231,1231,79,424
17,1707405,6890,6890,625,4738
51,5103304,9512,9512,1008,5415
52,5208608,30424,30424,3761,12641
43,4312401,16922,16922,2345,7583
51,5103353,16522,16522,1483,8975
35,3526506,1701,1701,279,655
41,4113452,3335,3335,345,1673
21,2104206,12915,12915,901,10333
41,4101655,1895,1895,227,917
26,2602506,6247,6247,507,4177
25,2510006,5991,5991,582,4206
35,3551900,5928,5928,566,2642
25,2509305,6784,6784,894,5138
17,1713601,4561,4561,503,2629
22,2203230,4855,4855,412,3323
31,3107505,3492,3492,528,1741
25,2512002,13400,13400,1155,10369
52,5213855,1867,1867,164,968
52,5212709,5814,5814,420,3885
41,4117503,19886,19886,2283,7560
17,1713700,1891,1891,194,1006
24,2413300,4354,4354,294,3419
22,2202729,5401,5401,532,3649
29,2921302,8082,8082,1033,5431
27,2703809,15110,15110,1742,11353
15,1505437,22496,22496,2165,15420
17,1700400,5451,5451,434,3234
26,2610806,16927,16927,1152,13735
52,5221577,1889,1889,130,1164
24,2403103,24270,24270,4614,12747
15,1506401,6667,6667,302,5576
21,2103125,7172,7172,408,6088
51,5107107,8323,8323,1044,2925
23,2305902,28169,28169,3168,18991
43,4310603,16507,16507,3056,6937
43,4306072,1856,1856,110,736
32,3202801,26125,26125,3186,15610
27,2709103,14068,14068,1334,10523
31,3167103,11630,11630,1823,6393
35,3546603,7551,7551,1488,2867
21,2111300,502790,502790,68313,319182
23,2305407,42187,42187,4708,31715
28,2806008,10864,10864,1083,7741
33,3303955,10615,10615,1291,6530
42,4206207,2449,2449,270,858
42,4213104,885,885,154,352
21,2105104,20995,20995,1482,18356
26,2600054,65886,65886,9258,43088
43,4311106,4020,4020,401,1886
35,3515608,1937,1937,188,721
41,4103503,4324,4324,712,1908
43,4314076,1802,1802,169,755
43,4305835,620,620,55,58
31,3136207,16461,16461,2879,9078
26,2609709,14828,14828,1296,10541
35,3500204,1857,1857,176,553
43,4308409,3355,3355,325,1616
43,4306973,1619,1619,134,898
29,2914000,39676,39676,4043,26272
24,2407500,7796,7796,493,5126
26,2605202,37298,37298,5214,25899
31,3125705,7235,7235,1413,3674
29,2914307,7249,7249,790,5167
42,4216206,12595,12595,2615,5254
43,4319406,7345,7345,916,3109
29,2925105,37583,37583,6334,24146
29,2924603,15715,15715,1314,11725
31,3160306,7609,7609,946,4619
22,2210359,3872,3872,277,2837
24,2410504,4137,4137,359,2502
41,4117453,2521,2521,265,733
25,2507309,11888,11888,1281,9187
25,2500908,8127,8127,623,6163
43,4314423,640,640,66,87
31,3138708,3093,3093,287,1256
31,3101607,30097,30097,3847,14830
43,4313656,6572,6572,1037,3555
52,5209150,2364,2364,265,1073
41,4110904,2322,2322,221,532
43,4322152,2201,2201,118,1124
43,4310538,2148,2148,299,643
13,1302504,83233,83233,10952,66143
41,4122008,6087,6087,514,1852
15,1504752,18876,18876,2161,12590
43,4309159,1845,1845,133,607
31,3150158,6800,6800,799,4351
43,4323770,583,583,49,81
17,1712454,2323,2323,324,1113
24,2400604,3943,3943,331,2537
41,4101507,37476,37476,5187,12431
25,2515807,5264,5264,534,3517
35,3546306,8982,8982,1125,4118
31,3124401,3898,3898,319,2441
35,3546207,1575,1575,232,588
22,2209872,4352,4352,381,3408
35,3520806,1180,1180,144,359
29,2914802,103316,103316,20967,55404
13,1304302,13203,13203,977,10617
35,3547205,740,740,90,192
28,2803906,9334,9334,808,6616
35,3527702,2677,2677,176,1303
51,5108303,2136,2136,209,1432
31,3143450,4798,4798,426,2879
31,3118106,2929,2929,302,1885
23,2304236,13946,13946,1532,9732
17,1715002,2374,2374,259,1117
35,3539400,4485,4485,510,1504
24,2413201,3037,3037,336,1945
25,2502102,4329,4329,421,3113
31,3165552,8016,8016,720,6082
43,4302808,13397,13397,2222,6112
52,5206909,1339,1339,90,533
52,5206503,2510,2510,302,1308
31,3122405,2708,2708,457,1232
52,5213053,1796,1796,209,905
29,2929370,7404,7404,668,5312
52,5214002,8691,8691,739,4416
41,4110409,2368,2368,199,567
35,3556404,12455,12455,1547,4611
35,3519204,2775,2775,322,1210
29,2931905,41237,41237,3023,31628
26,2608008,13781,13781,1143,10050
26,2603801,15188,15188,1851,11013
41,4105102,4918,4918,618,1831
26,2604205,24460,24460,2870,18829
17,1707306,2855,2855,338,1628
13,1300839,10179,10179,777,8650
52,5202502,5104,5104,452,2304
43,4316006,6068,6068,628,2145
43,4310850,2455,2455,206,647
42,4212056,855,855,146,398
31,3164209,5313,5313,474,3511
26,2615102,5600,5600,474,4325
24,2410009,2747,2747,196,1777
31,3136652,16206,16206,2010,7998
21,2111706,16534,16534,941,13710
29,2922730,6289,6289,514,4429
23,2300705,11606,11606,1040,6863
35,3526407,9752,9752,1086,4245
50,5002159,4492,4492,582,2175
43,4311429,1869,1869,114,988
43,4311007,11572,11572,2633,5957
41,4109302,4997,4997,883,1472
29,2906873,20877,20877,2325,14250
29,2930774,17878,17878,1564,11760
35,3508108,7475,7475,1084,3383
31,3162401,17106,17106,1795,11078
26,2608503,12938,12938,1144,8310
29,2906303,23688,23688,3409,16215
25,2511400,12370,12370,1400,9013
35,3532009,4547,4547,664,2022
41,4124301,1189,1189,122,384
43,4303004,30963,30963,4501,15720
26,2614006,15072,15072,1202,10415
29,2922854,5971,5971,388,4268
31,3109907,4185,4185,723,2125
31,3134707,7234,7234,1133,4689
42,4215604,417,417,57,109
35,3541208,4284,4284,448,1647
42,4204608,32333,32333,5532,14583
35,3528700,2197,2197,182,977
25,2509503,4677,4677,572,3326
35,3532504,3096,3096,521,1264
29,2931202,12431,12431,895,9747
24,2412203,30226,30226,3848,20337
29,2910206,3296,3296,351,1971
43,4306767,25376,25376,2303,11719
43,4311270,764,764,15,98
31,3113503,5459,5459,580,2301
35,3506359,32447,32447,3410,16025
29,2904852,13767,13767,1143,10680
51,5101258,6188,6188,848,2414
31,3101706,25075,25075,4641,15417
52,5202353,1969,1969,261,958
42,4219408,1171,1171,175,295
29,2909901,27082,27082,1624,20578
35,3537909,9078,9078,1431,3018
43,4323309,535,535,42,94
27,2700300,110979,110979,17168,76503
31,3141801,15840,15840,1689,8075
32,3203163,5165,5165,345,2716
