codigo_ibge_6,codigo_ibge_7,codigo_uf,municipio,regiao,mesorregiao,uf,uf_municipio,estado,porte_pop_codigo,porte_pop_categoria,populacao_censo_2022
110001,1100015,11,Alta Floresta D'Oeste,Norte,LESTE RONDONIENSE,RO,RO-Alta Floresta D'Oeste,Rondônia,2,Pequeno II,22.516
110002,1100023,11,Ariquemes,Norte,LESTE RONDONIENSE,RO,RO-Ariquemes,Rondônia,3,Médio,111.148
110003,1100031,11,Cabixi,Norte,LESTE RONDONIENSE,RO,RO-Cabixi,Rondônia,1,Pequeno I,5.067
110004,1100049,11,Cacoal,Norte,LESTE RONDONIENSE,RO,RO-Cacoal,Rondônia,3,Médio,86.416
110005,1100056,11,Cerejeiras,Norte,LESTE RONDONIENSE,RO,RO-Cerejeiras,Rondônia,1,Pequeno I,16.088
110006,1100064,11,Colorado do Oeste,Norte,LESTE RONDONIENSE,RO,RO-Colorado do Oeste,Rondônia,1,Pequeno I,15.213
110007,1100072,11,Corumbiara,Norte,LESTE RONDONIENSE,RO,RO-Corumbiara,Rondônia,1,Pequeno I,7.052
110008,1100080,11,Costa Marques,Norte,MADEIRA-GUAPORE,RO,RO-Costa Marques,Rondônia,1,Pequeno I,19.255
110009,1100098,11,Espigão D'Oeste,Norte,LESTE RONDONIENSE,RO,RO-Espigão D'Oeste,Rondônia,2,Pequeno II,33.009
110010,1100106,11,Guajará-Mirim,Norte,MADEIRA-GUAPORE,RO,RO-Guajará-Mirim,Rondônia,2,Pequeno II,46.930
110011,1100114,11,Jaru,Norte,LESTE RONDONIENSE,RO,RO-Jaru,Rondônia,3,Médio,51.469
110012,1100122,11,Ji-Paraná,Norte,LESTE RONDONIENSE,RO,RO-Ji-Paraná,Rondônia,4,Grande,131.026
110013,1100130,11,Machadinho D'Oeste,Norte,LESTE RONDONIENSE,RO,RO-Machadinho D'Oeste,Rondônia,2,Pequeno II,41.724
110014,1100148,11,Nova Brasilândia D'Oeste,Norte,LESTE RONDONIENSE,RO,RO-Nova Brasilândia D'Oeste,Rondônia,1,Pequeno I,20.504
110015,1100155,11,Ouro Preto do Oeste,Norte,LESTE RONDONIENSE,RO,RO-Ouro Preto do Oeste,Rondônia,2,Pequeno II,35.445
110018,1100189,11,Pimenta Bueno,Norte,LESTE RONDONIENSE,RO,RO-Pimenta Bueno,Rondônia,2,Pequeno II,37.098
110020,1100205,11,Porto Velho,Norte,MADEIRA-GUAPORE,RO,RO-Porto Velho,Rondônia,4,Grande,548.952
110025,1100254,11,Presidente Médici,Norte,LESTE RONDONIENSE,RO,RO-Presidente Médici,Rondônia,1,Pequeno I,18.165
110026,1100262,11,Rio Crespo,Norte,LESTE RONDONIENSE,RO,RO-Rio Crespo,Rondônia,1,Pequeno I,3.843
110028,1100288,11,Rolim de Moura,Norte,LESTE RONDONIENSE,RO,RO-Rolim de Moura,Rondônia,3,Médio,55.748
110029,1100296,11,Santa Luzia D'Oeste,Norte,LESTE RONDONIENSE,RO,RO-Santa Luzia D'Oeste,Rondônia,1,Pequeno I,5.942
110030,1100304,11,Vilhena,Norte,LESTE RONDONIENSE,RO,RO-Vilhena,Rondônia,3,Médio,104.517
110032,1100320,11,São Miguel do Guaporé,Norte,LESTE RONDONIENSE,RO,RO-São Miguel do Guaporé,Rondônia,2,Pequeno II,23.147
110033,1100338,11,Nova Mamoré,Norte,MADEIRA-GUAPORE,RO,RO-Nova Mamoré,Rondônia,2,Pequeno II,32.184
110034,1100346,11,Alvorada D'Oeste,Norte,LESTE RONDONIENSE,RO,RO-Alvorada D'Oeste,Rondônia,1,Pequeno I,13.807
110037,1100379,11,Alto Alegre dos Parecis,Norte,LESTE RONDONIENSE,RO,RO-Alto Alegre dos Parecis,Rondônia,1,Pequeno I,13.268
110040,1100403,11,Alto Paraíso,Norte,LESTE RONDONIENSE,RO,RO-Alto Paraíso,Rondônia,1,Pequeno I,22.258
110045,1100452,11,Buritis,Norte,MADEIRA-GUAPORE,RO,RO-Buritis,Rondônia,2,Pequeno II,41.043
110050,1100502,11,Novo Horizonte do Oeste,Norte,LESTE RONDONIENSE,RO,RO-Novo Horizonte do Oeste,Rondônia,1,Pequeno I,8.125
110060,1100601,11,Cacaulândia,Norte,LESTE RONDONIENSE,RO,RO-Cacaulândia,Rondônia,1,Pequeno I,6.307
110070,1100700,11,Campo Novo de Rondônia,Norte,MADEIRA-GUAPORE,RO,RO-Campo Novo de Rondônia,Rondônia,1,Pequeno I,14.391
110080,1100809,11,Candeias do Jamari,Norte,MADEIRA-GUAPORE,RO,RO-Candeias do Jamari,Rondônia,2,Pequeno II,28.068
110090,1100908,11,Castanheiras,Norte,LESTE RONDONIENSE,RO,RO-Castanheiras,Rondônia,1,Pequeno I,2.923
110092,1100924,11,Chupinguaia,Norte,LESTE RONDONIENSE,RO,RO-Chupinguaia,Rondônia,1,Pequeno I,11.755
110094,1100940,11,Cujubim,Norte,MADEIRA-GUAPORE,RO,RO-Cujubim,Rondônia,1,Pequeno I,27.131
110100,1101005,11,Governador Jorge Teixeira,Norte,LESTE RONDONIENSE,RO,RO-Governador Jorge Teixeira,Rondônia,1,Pequeno I,7.130
110110,1101104,11,Itapuã do Oeste,Norte,MADEIRA-GUAPORE,RO,RO-Itapuã do Oeste,Rondônia,1,Pequeno I,10.819
110120,1101203,11,Ministro Andreazza,Norte,LESTE RONDONIENSE,RO,RO-Ministro Andreazza,Rondônia,1,Pequeno I,9.461
110130,1101302,11,Mirante da Serra,Norte,LESTE RONDONIENSE,RO,RO-Mirante da Serra,Rondônia,1,Pequeno I,10.691
110140,1101401,11,Monte Negro,Norte,LESTE RONDONIENSE,RO,RO-Monte Negro,Rondônia,1,Pequeno I,16.158
